Fecha;Valor
1/01/2005;0
2/01/2005;4.58
3/01/2005;0
4/01/2005;0
5/01/2005;4.58
6/01/2005;0
7/01/2005;0
8/01/2005;9.269
9/01/2005;9.269
10/01/2005;0
11/01/2005;27.029
12/01/2005;0
13/01/2005;0
14/01/2005;18.019
15/01/2005;0
16/01/2005;0
17/01/2005;0
18/01/2005;0
19/01/2005;0
20/01/2005;0
21/01/2005;0
22/01/2005;0
23/01/2005;0
24/01/2005;0
25/01/2005;0
26/01/2005;0
27/01/2005;0
28/01/2005;0
29/01/2005;0
30/01/2005;0
31/01/2005;9.91
1/02/2005;0
2/02/2005;0
3/02/2005;11.966
4/02/2005;0
5/02/2005;0
6/02/2005;0
7/02/2005;0
8/02/2005;0
9/02/2005;0
10/02/2005;0
11/02/2005;8.431
12/02/2005;12.646
13/02/2005;0
14/02/2005;0
15/02/2005;0
16/02/2005;0
17/02/2005;0
18/02/2005;0
19/02/2005;0
20/02/2005;0
21/02/2005;0
22/02/2005;0
23/02/2005;0
24/02/2005;0
25/02/2005;0
26/02/2005;0
27/02/2005;0
28/02/2005;0
1/03/2005;0
2/03/2005;0
3/03/2005;0
4/03/2005;13.714
5/03/2005;0
6/03/2005;0
7/03/2005;0
8/03/2005;0
9/03/2005;0
10/03/2005;0
11/03/2005;0
12/03/2005;0
13/03/2005;0
14/03/2005;0
15/03/2005;0
16/03/2005;6.177
17/03/2005;0
18/03/2005;6.177
19/03/2005;18.53
20/03/2005;18.53
21/03/2005;5.954
22/03/2005;0
23/03/2005;0
24/03/2005;11.908
25/03/2005;0
26/03/2005;0
27/03/2005;13.91
28/03/2005;0
29/03/2005;6.955
30/03/2005;0
31/03/2005;0
1/04/2005;0
2/04/2005;0
3/04/2005;10.233
4/04/2005;5.116
5/04/2005;5.116
6/04/2005;8.334
7/04/2005;0
8/04/2005;11.113
9/04/2005;5.556
10/04/2005;2.778
11/04/2005;14.777
12/04/2005;0
13/04/2005;4.926
14/04/2005;9.851
15/04/2005;4.926
16/04/2005;0
17/04/2005;0
18/04/2005;0
19/04/2005;0
20/04/2005;32.078
21/04/2005;21.681
22/04/2005;14.454
23/04/2005;0
24/04/2005;0
25/04/2005;7.227
26/04/2005;7.976
27/04/2005;3.988
28/04/2005;15.953
29/04/2005;0
30/04/2005;0
1/05/2005;29.286
2/05/2005;29.286
3/05/2005;0
4/05/2005;0
5/05/2005;9.762
6/05/2005;14.03
7/05/2005;3.507
8/05/2005;10.522
9/05/2005;10.522
10/05/2005;3.507
11/05/2005;0
12/05/2005;16.44
13/05/2005;8.22
14/05/2005;49.321
15/05/2005;8.22
16/05/2005;25.245
17/05/2005;33.659
18/05/2005;8.415
19/05/2005;16.83
20/05/2005;0
21/05/2005;12.567
22/05/2005;6.283
23/05/2005;12.567
24/05/2005;0
25/05/2005;12.567
26/05/2005;0
27/05/2005;4.801
28/05/2005;7.202
29/05/2005;0
30/05/2005;0
31/05/2005;4.801
1/06/2005;7.33
2/06/2005;7.33
3/06/2005;10.996
4/06/2005;3.665
5/06/2005;14.661
6/06/2005;9.294
7/06/2005;15.491
8/06/2005;9.294
9/06/2005;9.294
10/06/2005;3.098
11/06/2005;4.43
12/06/2005;8.86
13/06/2005;2.215
14/06/2005;2.215
15/06/2005;2.215
16/06/2005;0
17/06/2005;3.734
18/06/2005;0
19/06/2005;1.867
20/06/2005;1.867
21/06/2005;0
22/06/2005;0
23/06/2005;3.468
24/06/2005;0
25/06/2005;5.202
26/06/2005;0
27/06/2005;12.417
28/06/2005;6.208
29/06/2005;6.208
30/06/2005;6.208
1/07/2005;0
2/07/2005;0
3/07/2005;5.436
4/07/2005;16.308
5/07/2005;10.872
6/07/2005;16.435
7/07/2005;12.326
8/07/2005;0
9/07/2005;4.109
10/07/2005;4.109
11/07/2005;5.486
12/07/2005;5.486
13/07/2005;16.459
14/07/2005;0
15/07/2005;0
16/07/2005;0
17/07/2005;7.295
18/07/2005;0
19/07/2005;7.295
20/07/2005;7.295
21/07/2005;0
22/07/2005;2.982
23/07/2005;0.994
24/07/2005;0
25/07/2005;0.994
26/07/2005;0
27/07/2005;0
28/07/2005;0
29/07/2005;0
30/07/2005;1.629
31/07/2005;3.258
1/08/2005;0
2/08/2005;4.307
3/08/2005;0
4/08/2005;2.153
5/08/2005;2.153
6/08/2005;0
7/08/2005;0
8/08/2005;7.941
9/08/2005;7.941
10/08/2005;0
11/08/2005;4.822
12/08/2005;0
13/08/2005;4.822
